Date,Temperature,Rain,Wind_Speed,Wind_Direction,Humidity,Pressure,Total_Cloud,Visibility,Solar_Radiation
1/1/2017 0:00,4.2,,2.1,320,68,1021.5,0,20000,
1/1/2017 1:00,4.1,,1.9,320,67,1021.4,0,20000,
1/1/2017 2:00,3.9,,1,250,68,1021.7,0,20000,
1/1/2017 3:00,3.7,,1.9,320,70,1021.6,0,20000,
1/1/2017 4:00,3.6,,1.1,50,72,1020.7,0,17950,
1/1/2017 5:00,3,,1.2,270,75,1020.7,0,16060,
1/1/2017 6:00,3.2,,2.9,320,69,1021,0,20000,
1/1/2017 7:00,3.3,,1.3,110,73,1021.3,0,16090,
1/1/2017 8:00,2.8,,0,0,80,1021.8,0,10300,0
1/1/2017 9:00,3.6,,1.5,230,72,1022.5,20,11230,0.15
1/1/2017 10:00,5.7,,1.3,200,65,1022.8,20,18210,0.63
1/1/2017 11:00,6.3,,1.7,90,67,1022.3,0,12830,0.94
1/1/2017 12:00,8.1,,1.3,160,57,1021.4,0,18670,1.29
1/1/2017 13:00,8.8,,1,110,55,1020.4,0,20000,1.41
1/1/2017 14:00,10.6,,4.5,230,48,1019.4,0,20000,1.35
1/1/2017 15:00,10.8,,5.3,230,46,1018.8,0,20000,1.08
1/1/2017 16:00,10.2,,3.4,230,51,1018.5,0,20000,0.65
1/1/2017 17:00,9.6,,2.4,230,53,1018.3,0,20000,0.16
1/1/2017 18:00,8.4,,0.9,250,60,1018,0,19870,0
1/1/2017 19:00,7.5,,1.8,290,62,1017.8,0,18550,
1/1/2017 20:00,7,,1.6,270,64,1017.7,0,20000,
1/1/2017 21:00,6.4,,3,290,66,1017.7,0,19130,
1/1/2017 22:00,5.9,,1.5,230,73,1017.4,0,14310,
1/1/2017 23:00,6.2,,1.6,270,64,1017.1,0,18820,
1/2/2017 0:00,6.1,,2.1,340,65,1016.5,0,16870,
1/2/2017 1:00,5.9,,4.2,320,65,1016.4,33.33333333,15330,
1/2/2017 2:00,6.1,,1,290,65,1015.7,66.66666667,13650,
1/2/2017 3:00,6.1,,2,230,70,1015.4,100,11490,
1/2/2017 4:00,6.7,,2.2,320,62,1015.3,100,15370,
1/2/2017 5:00,7.5,,2.5,340,58,1014.9,100,19500,
1/2/2017 6:00,7.8,0,3,340,57,1014.8,100,20000,
1/2/2017 7:00,7.8,,3.5,320,57,1015.1,80,20000,
1/2/2017 8:00,7.8,,3.8,340,57,1015.3,80,20000,0
1/2/2017 9:00,7.2,,2.5,200,66,1015.5,80,16520,0
1/2/2017 10:00,7.4,,2.1,250,66,1015.6,80,15700,0.06
1/2/2017 11:00,8.9,,3,230,58,1015.5,20,20000,0.71
1/2/2017 12:00,10.5,,3.6,230,54,1014.7,0,20000,1.31
1/2/2017 13:00,12.5,,4.6,250,46,1013.6,0,20000,1.44
1/2/2017 14:00,13.1,,5.5,250,46,1012.8,0,20000,1.38
1/2/2017 15:00,13.3,,3.8,230,46,1012.8,0,20000,1.1
1/2/2017 16:00,13.6,,5.7,290,42,1013.1,30,20000,0.68
1/2/2017 17:00,12.8,,5.1,290,44,1013.5,60,18770,0.13
1/2/2017 18:00,12.1,,4.3,340,47,1013.8,80,20000,0
1/2/2017 19:00,11.2,,4.2,320,52,1014,53.33333333,20000,
1/2/2017 20:00,10.7,,3.9,320,53,1014.3,26.66666667,20000,
1/2/2017 21:00,10,,2.3,290,57,1014.2,0,20000,
1/2/2017 22:00,9.2,,2.2,270,61,1014.2,0,20000,
1/2/2017 23:00,8.6,,3.5,270,63,1014.3,0,20000,
1/3/2017 0:00,8.2,,6.3,320,59,1014.2,0,20000,
1/3/2017 1:00,7.6,,6.2,320,60,1013.7,0,15480,
1/3/2017 2:00,6.7,,4.5,290,61,1014.2,0,11270,
1/3/2017 3:00,6.3,,6.1,340,58,1014.6,0,5540,
1/3/2017 4:00,5.9,,3.3,320,57,1014.7,0,4470,
1/3/2017 5:00,5.8,,5.5,320,53,1014.6,0,4940,
1/3/2017 6:00,5.1,,4,270,50,1014.9,0,5830,
1/3/2017 7:00,4.6,,3.1,340,43,1015.4,0,8850,
1/3/2017 8:00,4.2,,1.6,290,40,1015.7,0,12480,0
1/3/2017 9:00,5,,2.8,340,38,1016.2,0,14360,0.15
1/3/2017 10:00,6.3,,4.8,340,37,1017,0,12450,0.68
1/3/2017 11:00,7.9,,4.6,320,35,1016.9,0,13890,1.12
1/3/2017 12:00,8.2,,2.9,90,44,1016,0,11030,1.39
1/3/2017 13:00,10,,1.7,230,37,1015.3,0,14940,1.49
1/3/2017 14:00,10.8,,2.8,200,32,1014.6,0,16960,1.42
1/3/2017 15:00,11.2,,2.7,230,30,1014.4,0,19870,1.19
1/3/2017 16:00,10.9,,3.2,230,31,1014.4,0,20000,0.78
1/3/2017 17:00,10.7,,1.8,230,33,1014.4,0,20000,0.25
1/3/2017 18:00,9.2,,2.7,250,43,1014.4,0,19120,0
1/3/2017 19:00,8.2,,2.6,290,47,1014.6,0,13760,
1/3/2017 20:00,7.3,,1.5,290,42,1014.6,0,15570,
1/3/2017 21:00,6.7,,1.8,180,52,1014.8,0,13700,
1/3/2017 22:00,7,,4.5,290,40,1014.8,0,17560,
1/3/2017 23:00,6.7,,4.3,270,41,1014.8,0,17860,
1/4/2017 0:00,5.9,,1.7,200,44,1014.7,0,18870,
1/4/2017 1:00,5.5,,1.9,250,46,1014.6,0,16680,
1/4/2017 2:00,5,,2.3,320,46,1014.8,0,18520,
1/4/2017 3:00,6.1,,5.2,340,36,1014.5,0,20000,
1/4/2017 4:00,6.3,,3.4,340,31,1014.5,0,20000,
1/4/2017 5:00,6.5,,4.2,340,26,1013.9,0,20000,
1/4/2017 6:00,6.7,,4.5,320,27,1014.2,10,20000,
1/4/2017 7:00,6.4,,2.3,340,29,1014.4,40,20000,
1/4/2017 8:00,6.4,,2.5,360,40,1014.9,50,16100,0
1/4/2017 9:00,6.7,,1.9,360,44,1015.5,60,11950,0.1
1/4/2017 10:00,7.2,,2.4,90,56,1016.5,30,13890,0.56
1/4/2017 11:00,7.8,,2.6,70,41,1016.5,0,16270,0.87
1/4/2017 12:00,8.3,,2.9,70,42,1015.3,60,20000,1.1
1/4/2017 13:00,9.1,,2.2,90,40,1014.5,30,18000,1.26
1/4/2017 14:00,10.6,,1.4,200,36,1014,40,17670,1.24
1/4/2017 15:00,11.4,,2.2,230,38,1013.8,60,14290,0.99
1/4/2017 16:00,11.5,,1.1,200,41,1013.7,20,11810,0.66
1/4/2017 17:00,10.6,,1.1,200,47,1014,0,9560,0.13
1/4/2017 18:00,9.3,,0.3,0,50,1014.4,0,8720,0
1/4/2017 19:00,8.5,,0.7,70,52,1014.9,0,8110,
1/4/2017 20:00,7.8,,1.5,290,55,1014.8,0,7980,
1/4/2017 21:00,7,,0.8,140,61,1015,0,6640,
1/4/2017 22:00,6.9,,1.4,50,61,1015.4,0,7120,
1/4/2017 23:00,6.3,,1.1,250,60,1015.6,0,7080,
1/5/2017 0:00,6.2,,0.9,90,62,1015.8,0,6950,
1/5/2017 1:00,6.3,,3.2,70,62,1015.5,26.66666667,6050,
1/5/2017 2:00,6.5,,4.4,90,66,1015.6,53.33333333,5400,
1/5/2017 3:00,6.7,,5.3,70,60,1015.6,80,6940,
1/5/2017 4:00,7.2,,4.5,70,43,1015.7,70,12000,
1/5/2017 5:00,7.2,,5.9,70,39,1015.1,70,13700,
1/5/2017 6:00,6.9,,6,70,45,1015.4,30,12300,
1/5/2017 7:00,6.7,,6.1,70,48,1015.8,50,11030,
1/5/2017 8:00,6.7,,5.4,70,51,1016.2,80,11110,0
1/5/2017 9:00,7,,6.4,70,47,1016.9,80,12350,0.01
1/5/2017 10:00,7.3,,6.1,70,49,1017.4,100,12100,0.19
1/5/2017 11:00,7.8,,6.5,70,47,1017.7,100,13330,0.43
1/5/2017 12:00,8.4,,4.9,70,47,1017.5,100,13990,0.67
1/5/2017 13:00,9.5,,5.3,70,47,1016.8,100,17860,1
1/5/2017 14:00,9.7,,5.9,70,50,1016.7,100,20000,0.5
1/5/2017 15:00,9.9,,5.2,90,51,1016.7,100,20000,0.28
1/5/2017 16:00,9.9,,6,90,51,1016.8,100,20000,0.05
1/5/2017 17:00,9.9,,6.6,90,54,1017.1,100,20000,0
1/5/2017 18:00,9.7,,7.3,90,55,1017.7,100,20000,0
1/5/2017 19:00,9.3,,7.6,90,56,1018,100,20000,
1/5/2017 20:00,9.1,,7.4,90,58,1018.7,100,20000,
1/5/2017 21:00,8.9,,6.9,90,57,1018.7,100,20000,
1/5/2017 22:00,8.4,,7.9,90,58,1018.6,100,20000,
1/5/2017 23:00,8.2,,7.8,90,59,1018.7,100,20000,
1/6/2017 0:00,7.9,0,8,90,60,1018.7,100,20000,
1/6/2017 1:00,7.5,,8.9,70,60,1018.6,100,20000,
1/6/2017 2:00,7.3,,7.5,90,61,1019.1,100,20000,
1/6/2017 3:00,6.9,0,7,70,62,1019,100,20000,
1/6/2017 4:00,6.7,,8.1,70,63,1019,100,20000,
1/6/2017 5:00,6.6,,9,70,62,1018.2,100,20000,
1/6/2017 6:00,6.5,0,8.7,70,61,1018.6,100,20000,
1/6/2017 7:00,6.5,,8.1,70,61,1019,100,20000,
1/6/2017 8:00,6.5,,7.6,70,60,1019.1,100,20000,0
1/6/2017 9:00,6.6,0,8.3,70,58,1019.5,80,20000,0.05
1/6/2017 10:00,7.3,,7.5,70,54,1019.6,50,20000,0.57
1/6/2017 11:00,7.9,,5.7,70,52,1019.8,10,20000,1.16
1/6/2017 12:00,8.5,,5.6,90,49,1018.5,0,20000,1.4
1/6/2017 13:00,9.2,,6.1,90,48,1017.3,0,20000,1.51
1/6/2017 14:00,9.8,,3.5,70,45,1017,0,20000,1.42
1/6/2017 15:00,10.3,,2.7,70,43,1017.2,0,20000,1.15
1/6/2017 16:00,10.4,,1.3,110,45,1016.8,0,20000,0.72
1/6/2017 17:00,9.8,,1.8,140,49,1016.6,20,20000,0.19
1/6/2017 18:00,9.1,,2,90,51,1016.8,10,20000,0
1/6/2017 19:00,8.8,,3.5,90,50,1016.9,13.33333333,20000,
1/6/2017 20:00,8.4,,3,90,50,1016.9,16.66666667,20000,
1/6/2017 21:00,8.1,,3.7,90,53,1017,20,20000,
