,rain,temperature,humidity,pressure,solar_radiation,wind_speed,wind_direction,visibility,total_cloud
2019-12-20 00:00,,0.1,47,2.9,,0.5,90,2000,6
2019-12-20 01:00,,-1.3,55,3.1,,0.2,0,2000,2
2019-12-20 02:00,,-2.6,62,3.1,,0.3,0,1941,0
2019-12-20 03:00,,-2.6,66,3.3,,0.4,0,2000,0
2019-12-20 04:00,,-3.0,72,3.5,,0.1,0,2000,2
2019-12-20 05:00,,-3.0,71,3.5,,1.0,50,2000,0
2019-12-20 06:00,,-3.3,71,3.4,,0.6,180,2000,0
2019-12-20 07:00,,-3.1,72,3.5,,0.1,0,2000,0
2019-12-20 08:00,,-2.9,72,3.6,0.02,0.3,0,1815,9
2019-12-20 09:00,,-0.4,66,3.9,0.36,0.8,70,1845,8
2019-12-20 10:00,,2.5,60,4.4,0.92,0.5,140,1830,4
2019-12-20 11:00,,4.9,51,4.4,1.46,0.7,140,1808,2
2019-12-20 12:00,,6.9,46,4.6,1.79,1.3,200,1895,0
2019-12-20 13:00,,8.0,40,4.3,1.92,1.3,200,1952,3
2019-12-20 14:00,,8.6,40,4.5,1.65,1.2,290,1984,5
2019-12-20 15:00,,8.3,41,4.5,1.02,0.6,340,2000,6
2019-12-20 16:00,,7.0,40,4.0,0.54,1.6,20,1999,6
2019-12-20 17:00,,5.9,44,4.1,0.19,2.3,20,2000,8
2019-12-20 18:00,,5.3,45,4.0,0.0,0.9,20,2000,10
2019-12-20 19:00,,4.9,48,4.2,,0.4,0,1986,10
2019-12-20 20:00,,3.7,55,4.4,,0.1,0,1946,10
2019-12-20 21:00,,2.5,60,4.4,,0.0,0,1868,9
2019-12-20 22:00,,1.3,66,4.4,,0.4,0,1850,7
2019-12-20 23:00,,0.3,71,4.4,,0.2,0,1661,5
2019-12-21 00:00,,-1.3,76,4.2,,0.2,0,1441,2
2019-12-21 01:00,,-2.3,80,4.2,,0.1,0,1277,0
2019-12-21 02:00,,-2.8,82,4.1,,0.0,0,1130,0
2019-12-21 03:00,,-3.2,82,4.0,,0.5,50,1091,6
2019-12-21 04:00,,-3.7,86,4.0,,0.1,0,888,6
2019-12-21 05:00,,-4.1,85,3.8,,0.2,0,703,9
